pais_de_origem;razao_social;cnpj;logradouro;cidade;uf;cep;e_mail;cotm;vigencia Mês;Vigência Dia;Vigência Ano
BRASIL;Petony Transportes Ltda - Me;8375242000171;Rua Conego Valadão, nº 884 - Gopouva;Guarulhos;SP;7040000;diniz2010@terra.com.br;0955-1118;11;22;2028
BRASIL;R.V. Ímola Transportes E Logística Ltda;5366444000169;AVENIDA LAURO DE GUSMÃO SILVEIRA, 479 - JARDIM SÃO GERALDO;Guarulhos;SP;7140010;rvtransportes@rvimola.com.br;0372-0310;5;18;2030
BRASIL;Pronto Cargo Rodo Ltda;50791887000151;RUA ESTRELA DO OESTE Nº 124, SALA 7 - BAIRRO JD SÃO GERALDO;Guarulhos;SP;7140030;CESAR@ACCONFISN.COM.BR;1459-1224;1;2;2035
BRASIL;Rgf Cargo Express Transportes Ltda - Me;23641864000198;Rua José Bonifácio, 147 - Vila Renata;Guarulhos;SP;7056020;roseli@rgfcargo.com.br;0979-0419;4;18;2029
BRASIL;RDP TRANSPORTES E LOGÍSTICA LTDA;9498335000156;RODOVIA PRESIDENTE DUTRA;Guarulhos;SP;7210000;nilsontazinazo@cnlog.com.br;1244-0422;4;28;2032
BRASIL;RDP TRANSPORTES E LOGÍSTICA LTDA;9498335000156;RODOVIA PRESIDENTE DUTRA;Guarulhos;SP;7210000;rosana@cnlog.com.br;1244-0422;4;28;2032
BRASIL;Restitui Logística E Transportes Eireli;7782318000110;Rua Jamil João Zarif, 684, Unidade 10 -  Jardim Santa Vicência;Guarulhos;SP;7143000;rogerio@restituitransp.com.br;1054-0220;2;5;2030
BRASIL;Mrf Logística E Transportes Ltda;39366272000145;RUA PAULO STEOLA Nº 150 - GALPÃO 7 - SALA 1 - JARDIM SANTA FRANCISCA;Guarulhos;SP;7034040;raquel@mrflogistica.com.br;1454-1124;11;25;2034
BRASIL;Mirassol Logística Ltda;14937348000114;RUA JOSÉ CAMPANELLA Nº 578 - AREA UNE 80 PA - MACEDO;Guarulhos;SP;7112100;celso.filho@grupomirassol.com.br;1343-0323;3;31;2033
BRASIL;Leadership Freight Do Brasil Agenciamento Logistico Ltda;3776089000170;Rua Barão de Mauá, nº 450, Sala 508 - Centro;Guarulhos;SP;7012040;juridico@fcnaccounting.com;0867-1017;10;26;2027
BRASIL;Lfg Do Brasil Ltda;11807198000136;Avenida Carmela Dutra, 180, Bloco: unidade 17-  Galpão: CLG Centro Logístico Guarulhos - Jardim Presidente Dutra;Guarulhos;SP;7170150;fiscal@leadershipfreight.com;1053-0220;2;3;2030
BRASIL;Langbehn Log Transportes E Logística Ltda;24620388000191;AVENIDA NATÁLIA ZARIF, 660, GALPÃO 5, SALA 03,  JARDIM SÃO GERALDO;Guarulhos;SP;7140040;viviane.castelan@fcblog.com.br;1403-0124;1;29;2034
BRASIL;Langbehn Log Transportes E Logística Ltda;24620388000191;AVENIDA NATÁLIA ZARIF, 660, GALPÃO 5, SALA 03,  JARDIM SÃO GERALDO;Guarulhos;SP;7140040; mariacon.fera@gmail.com;1403-0124;1;29;2034
BRASIL;Life Cargo Transporte E Logística Ltda;11835127000147;RUA ESTRELA DO OESTE, Nº 124, BLOCO D4 / D5;Guarulhos;SP;7140030;saude@lifecargo.com.br;0725-1115;8;5;2036
BRASIL;Life Cargo Transporte E Logística Ltda;11835127000147;RUA ESTRELA DO OESTE, Nº 124, BLOCO D4 / D5;Guarulhos;SP;7140030;financeiro3@lifecargo.com.br;0725-1115;8;5;2036
BRASIL;LOCAR GUINDASTES E TRANSPORTES INTERMODAIS S.A.;43368422000127;Rua João Pedro Blumenal, nº 300 ;Guarulhos;SP;7224150;claudia.antonio@locar.com.br;0899-0418;4;5;2028
BRASIL;LOCAR GUINDASTES E TRANSPORTES INTERMODAIS S.A.;43368422000127;Rua João Pedro Blumenal, nº 300 ;Guarulhos;SP;7224150;jose.martines@locar.com.br;0899-0418;4;5;2028
BRASIL;LSLOG ARMAZENAGEM  E LOGISTICA LTDA;7259339000156;Avenida Julia Gaiolli, nº 740, Galpão T 400;Guarulhos;SP;7251500;mauricio@lslog.com.br;1163-0521;5;26;2031
BRASIL;LSLOG ARMAZENAGEM  E LOGISTICA LTDA;7259339000156;Avenida Julia Gaiolli, nº 740, Galpão T 400;Guarulhos;SP;7251500;tatiane@lslog.com.br;1163-0521;5;26;2031
BRASIL;Logservice Brasil Transportes Ltda;31750496000144;RUA SIMÃO PEREIRA, 131 - CID. IND. SATÉLITE DE SÃO PAULO;Guarulhos;SP;7233140;comercial@logservicebrasil.com.br;1017-0919;9;23;2029
BRASIL;Shiplog Transportes Ltda;30010218000198;RUA CEARÁ Nº 334 - JARDIM SÃO JORGE;Hortolândia;SP;13183310;EVANDRO@SHIPLOG.COM.BR;1126-1120;11;20;2030
BRASIL;Ever Express Transportes E Armazéns Gerais Ltda;13982346000184;Rua Pérola, nº  200 - Galpão 01 - Módulo 04B - Jardim Santa Esmeralda;Hortolândia;SP;13186546;eliane.lima@everexpress.com.br;1143-0221;2;24;2031
BRASIL;Farma Logística E Armazéns Gerais Ltda;4019475000180;Avenida Portugual, nº 1.100, Parte A-2 - Itaqui;Itapevi;SP;6696060;paralegal.corporativo@luft.com.br;0626-0714;7;16;2024
BRASIL;Intec - Integração Nacional De Transportes De Encomendas E Cargas Ltda;52134798000168;Avenida Portugal, nº 1100, Parte B2 - Itaqui;Itapevi;SP;6696060;paralegal.corporativo@luft.com.br;0737-0116;1;22;2026
BRASIL;Lotte Comercial E Logística Ltda;4212218000160;RODOVIA CEL. PM. NELSON TRANCHESI, 1730, ARMAZEM 9,  SALA 2, ITAQUI;Itapevi;SP;6696110;edu@lottelogistics.com.br;1400-0124;1;17;2034
BRASIL;Buick Logística E Transportes Ltda;73089617000107;RODOVIA PRESIDENTE CASTELO BRANCO  - KM 79,3 - S/N - GALPÃO 1 - PARTE- CITY CASTELLO;Itu;SP;13308700;MARCOSVARELAS@CONCEITOSCONSULTORES.COM.BR;1004-0719;7;11;2029
BRASIL;Expresso Fiel Ltda ;13762882000174;AVENIDA JOSÉ PEREIRA DE ANDRADE, Nº 507;Jacareí;SP;12328290;qualidade@expressofiel.com.br;1148-0321;3;23;2031
BRASIL;Orionx Transportes E Logística Ltda;42970999000141;RUA ORLANDO MOTTA, Nº 150 - JARDIM ALVORADA;Jandira;SP;6612260;gustavoskiadv@outlook.com;1233-0322;3;21;2032
BRASIL;Newport Do Brasil Ltda.;4654989000108;Av. Prefeito Luiz Latorre, 4042, 2º andar - Bairro Vila das Hortências;Jundiaí;SP;13209430;newton.righi@newporttank.com;0442-0711;7;4;2021
BRASIL;United World Line Do Brasil Operadora Multimodal Ltda;13000000000000;Avenida Prefeito Luis Latorre, nº 4043;Jundiaí;SP;13209430;adm.sam@shipuwl.com;0829-0317;3;27;2027
BRASIL;Expresso Jundiaí São Paulo Ltda;50935436000140;Avenida Antonio Frederico Ozanam, nº 6.200, Vila Rio Branco;Jundiaí;SP;13215276;diretoria@expressojundiai.com.br;0115-0805;8;23;2015
BRASIL;Glencane Bioenergia S.A.;68316801000102;ESTRADA MUNICIPAL JUNQUEIRÓPOLIS- SALGADO FILHO, S/Nº - TAQUARUSSU;Junqueirópolis;SP;17890000;evelin.estrambek@usinariovermelho.com.br;0590-1013;10;25;2023
BRASIL;Empresa De Transportes Covre Ltda;51485274000159;Rod. Anhanguera Km 147,5 - Bairro do Ferrão;Limeira;SP;13486199;adm@covre.com.br;0145-1005;10;25;2015
BRASIL;LOGPLAN LOGÍSTICA E PLANEJAMENTO LTDA;321584000105;Rodovia Deputado João Hermann Neto, nº 705 - lado esquerdo;Limeira;SP;13480000;marcio@logplan.com.br;0051-0405;5;8;2035
BRASIL;LOGPLAN LOGÍSTICA E PLANEJAMENTO LTDA;321584000105;Rodovia Deputado João Hermann Neto, nº 705 - lado esquerdo;Limeira;SP;13480000;comercial@sbdespachos.com.br;0051-0405;5;8;2035
BRASIL;Send Express Entregas Rápidas Ltda;67174185000121;Rua Reverendo José Teixeira Rego nº 73 - Jardim Bógus;Mauá;SP;9340270;comercial@sendexpresstransportes.com.br;1418-0424;4;15;2034
BRASIL;BRASMEG ARMAZEM GERAL LTDA;19504553000100;AV PAPA JOAO XXIII 3114;Mauá;SP;9370800;MARCOS@BRASMEG.COM.BR;1539-0526;5;11;2036
BRASIL;BRASMEG TRANSPORTES LTDA;13520755000169;AV PAPA JOAO XXIII, 3114 - GALPAO01 SALA 01;Mauá;SP;9370800;MARCOS@BRASMEG.COM.BR;1540-0526;5;13;2036
BRASIL;Bureau Brasil Consultoria Ltda;15136125000110;RUA CAROLINA PERNA ANDREOZZI, 44 - VILA DA PRATA;Mogi das Cruzes;SP;8725405;itaIo@bbrad.com.br;1048-0120;1;27;2030
BRASIL;Strategic Transportes Multimodais & Logística Ltda;18023962000121;Estrada Municipal Elvira Martinez Canales - nº 701 - Jardim Chapadão;Monte Mor;SP;13190000;celson@strategiclog.com.br;0840-0617;6;27;2027
BRASIL;Aerosoft Cargas Aéreas Ltda;1014373000184;Rua Amadeu Consolin nº 104 - Jardim Primavera;Morungaba;SP;13260000;airton@aerosoftcargas.com.br;0088-0605;1;23;2027
BRASIL;Click - Rodo Entregas Ltda;15121491000953;AVENIDA HENRY FORD Nº 643 - GALPÃO B - PRESIDENTE ALTINO;Osasco;SP;6210108;ICO@ZRADV.COM.BR;1284-0822;8;23;2032
BRASIL;Emj Transportes E Logística Ltda;7284039000127;Avenida Luis Rink, nº 200/220 - Ayrosa;Osasco;SP;6290150;evenor@emjtransportes.com.br;0722-1015;10;26;2025
BRASIL;Direct Express Logística Integrada S.A;5886614000136;Av. Henry Ford, 643,  Parte - Presidente Altino;Osasco;SP;6210108;adriana.msilva@b2wdigital.com;0886-0218;2;7;2028
BRASIL;Séculos Transportes Sensíveis Ltda;669395000110;RUA ERASMO BRAGA Nº 498 - PRESIDENTE ALTINO;Osasco;SP;6213005;J.SIDNEY@SECULOSTRANSPORTES.COM.BR;0583-0913;9;17;2023
BRASIL;Transparaguay Transportes Rodoviários Ltda;60910775000126;RUA ÁGUAS DA PRATA 519 - ROCHDALE;Osasco;SP;6223200;saopaulo@transparaguay.com;0295-0508;3;22;2028
BRASIL;Mercado Envios Serviços De Logística Ltda;20121850000155;Av. das Nações Unidas, nº 3000-3003, parte C - Bonfim;Osasco;SP;6233903;bruno.mathias@mercadolivre.com;0918-0818;8;21;2028
BRASIL;Ramos & Ribeiro Comercio Exterior Ltda;36674010000150;RUA ANISIO BERNIZ - 212 - PESTANA;Osasco;SP;6122050;CONTATO@RERCOMEX.COM.BR;1092-0720;7;17;2030
BRASIL;Almeida Silva Do Brasil Eireli;29425065000160;RUA DOUTOR CAIO MIZUBUTI, Nº 551 - BAIRRO VILA SOARES;Ourinhos;SP;19906520;presidencia@sindicamourinhos.com.br;1107-0920;9;4;2030
BRASIL;Bortolini Transportes Ltda - Epp;9558301000100;Via Antonio de Oliveira nº 359 - Paulas e Mendes;Piedade;SP;18170000;transportes@grupobortolini.com;0540-0113;1;11;2023
BRASIL;Ynova Soluções Multimodais Ltda;46961303000171;AV DOUTOR FRANCISCO LESSA JUNIOR Nº 1900 SALA 15 PAVMTO1 - BAIRRO/DISTRITO JARDIM RESIDENCIAL DOUTOR LESSA;Pindamonhangaba;SP;12422531;qualidade.sgi@ynova.com.br;1346-0423;4;19;2033
BRASIL;Ynova Transportes E Logistica Ltda;21329965000100;AV. INDEPENDENCIA, Nº 1089 - CIDADE NOVA;Pindamonhangaba;SP;12414240;qualidade.sgi@ynova.com.br;1164-0521;5;26;2031
BRASIL;Glovis Brail Logística Ltda;13272177000199;AV. HYUNDAI, Nº 905 - ÁGUA SANTA;Piracicaba;SP;13413500;marcio.rodarte@glovis.com.br;1202-1121;11;16;2031
BRASIL;Martins Despachos E Assessoria Em Logística Eireli;9341293000145;Rua Foz do Iguaçu, n.º 351, 1º Andar - Bairro Vila Lúcia;Poá;SP;8557710;antoniofu@martinslog.com;1129-1220;12;10;2030
BRASIL;Martins Despachos E Assessoria Em Logística Eireli;9341293000145;Rua Foz do Iguaçu, n.º 351, 1º Andar - Bairro Vila Lúcia;Poá;SP;8557710; sabrina.santos@martinslog.com;1129-1220;12;10;2030
BRASIL;Mlog Armazém Geral Ltda.;5117268000121;Av. 80-A, 777, Setor FDC/B - Bairro Distrito Industrial;Rio Claro;SP;13506095;GCG-TAX_INDIRETOS-USP@WHIRLPOOL.COM;0964-0119;4;6;2036
BRASIL;Fischer & Rechsteiner Do Brasil Logística S.A;22073054000110;RUA 07, Nº 192, SALA 01 - CENTRO;Rio Claro;SP;13500143;l.fagan@ferfreigtht.com.br;1138-0121;1;13;2031
BRASIL;Fast Airlog Transportes E Logística Ltda;35547205000176;Rua Rússia, n°494, Sala 04 - Jardim Planalto;Salto;SP;13322230;financeiro@fastairlog.com.br;1336-0323;3;10;2033
BRASIL;M.R.T. Sistemas Logísticos Ltda;3006712000106;Rua Japão, nº 280, sala 07 - Jardim São Luiz;Santana de Parnaíba;SP;6502345;manueldias@mrtlogistica.com.br;0943-1018;10;17;2028
BRASIL;Pontocom Services Ltda;4020515000104;Rua Lua Crescente, n° 121 - sala 08;Santana de Parnaíba;SP;6529017;ricardocaldeira@aerosoftcargas.com.br;0721-1015;10;22;2025
BRASIL;LISBETEL TRANSPORTES E LOGÍSTICA LTDA;3496334000196;RUA VEREDA TROPICAL, Nº 186;Santana de Parnaíba;SP;6513100;LISBETEL@LISBETEL.COM.BR;1543-0626;6;24;2036
BRASIL;LISBETEL TRANSPORTES E LOGÍSTICA LTDA;3496334000196;RUA VEREDA TROPICAL, Nº 186;Santana de Parnaíba;SP;6513100;antric.assessoria@gmail.com;1543-0626;6;24;2036
BRASIL;TORKS TRANSPORTES LTDA;4184178000190;RUA VEREDA TROPICAL, 186 ;Santana de Parnaíba;SP;6513100;antric.assessoria@gmail.com;1542-0626;6;1;2036
BRASIL;Logfarma Distribuição E Serviços Ltda.;2376381000133;Rua Araçatuba nº 426 - Santa Maria;Santo André;SP;9071310;documentacao@logfarma.com.br;0871-1117;11;6;2027
BRASIL;Limaport Soluções Em Logistica Ltda;28492253000149;PRAÇA DO BARÃO DO RIO BRANCO - 14 CONJUNTO 23 SALA 01 - CENTRO;Santos;SP;11010040;OPERATIONS@LIMAPORT.COM;0870-1117;11;1;2027
BRASIL;Libra Terminal Valongo S.A.;8809288000151;RUA CAIS DO VALONGO , S/Nº - VALONGO;Santos;SP;11090000;gr.intermodal@grupolibra.com.br;0560-0513;5;23;2023
BRASIL;Logline Soluções Logísticas Integradas Ltda - Epp;19762315000102;Rua Alexandre Herculano, nº 197 - salas 906/907 - Gonzaga;Santos;SP;11050031;fmagalhaes@loglinelogistica.com.br;0912-0718;7;24;2028
BRASIL;M. Muniz Logística Ltda;5922371000144;Rua Doutor Manoel Tourinho, nº 26 - Macuco;Santos;SP;11015030;marcos@mmuniz-log.com.br;0616-0414;5;8;2034
BRASIL;Mariel Logística Ltda Epp;11005471000109;Rua João Paulo Deales Bernardo 107-A - Jardim Castelo;Santos;SP;11084440;claudileneburgos@grupomariel.com.br;0506-0812;8;31;2022
BRASIL;Maersk Logistics & Services Brasil Ltda;3598524000114;Av. Ana Costa, nº 288, Sala 132/133 141 a 144, Conj. 151 a 154;Santos;SP;11060000;fernando.camargo@maersk.com;0187-0506;12;10;2026
BRASIL;Maersk Logistics & Services Brasil Ltda;3598524000114;Av. Ana Costa, nº 288, Sala 132/133 141 a 144, Conj. 151 a 154;Santos;SP;11060000;TAX-BR@MAERSK.COM;0187-0506;12;10;2026
BRASIL;Mercosul Line Navegação E Logística Ltda;1341776000308;Alameda Armênio Mendes,  nº 66, 21º andar, salas 2104/2105/2106/2107;Santos;SP;11035260;mline@mercosul-line.com.br;0180-0406;3;31;2036
BRASIL;Msc Mediterranean Logística Ltda;8680888000162;Av. Ana Costa, 291, 2º andar, sala 21, Edifício Pallazo - Gonzaga;Santos;SP;11060917;br241-corporate@msc.com;0254-0807;7;14;2027
SUÍÇA;Msc Mediterranean Shipping Company S.A.;40410; Av. Ana Costa, 291, salas 11-12-21-22-31-41-42-51 e  52 - Ed. Palazzo (Filial Brasil);Santos;SP;11060917;mkt.spo@mscbr.com.br;0404-0810;4;17;2030
BRASIL;Msc Mediterranean Shipping Do Brasil Ltda;2378779000109;Avenida Ana Costa, nº 291- 4º andar - Gonzaga;Santos;SP;11060917;corporate@mscbr.com.br;0191-0606;5;5;2036
BRASIL;Msc Mediterranean Shipping Do Brasil Ltda;2378779000109;Avenida Ana Costa, nº 291- 4º andar - Gonzaga;Santos;SP;11060917;BR241-ADMLEGAL@MSC.COM;0191-0606;5;5;2036
BRASIL;Mshift System Gestão Logística E Assessoria Multimodal Ltda;13591547000150;Avenida Senador Feijó nº 686, Conjunto 623, Sala 15 - Vila Mathias - Caixa Postal nº 12;Santos;SP;11015504;washingtonsoares@mshiftsystem.com;0528-1112;5;13;2032
BRASIL;Mtf Consultoria E Assessoria Em Comércio Exterior Ltda;2134994000164;Rua Riachuelo, 66 conjunto 51 sala 01 - Centro;Santos;SP;11020010;deise@mtf.com.br;0082-0605;6;22;2015
BRASIL;Multifretes Transportes Ltda;42749306000195;RUA VISCONDE DO RIO BRANCO, Nº 02, SALA 91 B -  CENTRO;Santos;SP;11013030;martinsassessoria@uol.com.br;1366-0823;8;14;2033
BRASIL;Premium Logistics And Cargo Ltda - Epp;4190683000148;Praça Dom Idílio José Soares, 42 - conjunto 23 - Centro;Santos;SP;11013170;noschese@premiumlog.com.br;0100-0805;8;17;2015
BRASIL;Prime Br Transportes Ltda;45522553000142;RUA. VISCONDE DO EMBARÉ, Nº 230 CONJ.1611 - VALONGO;Santos;SP;11010240;adm@primessz.com.br;1349-0523;5;5;2033
BRASIL;Ram Multimodal Ltda - Me;1543841000108;RUA AMADOR BUENO Nº 152 CONJUNTO 25/26;Santos;SP;11013150;PROJAS32@IG.COM.BR;0525-1012;10;8;2022
BRASIL;Rg Log Santos Transportes Ltda;13692098000137;RUA RIACHUELO 121 -  7º ANDAR - SALA 71 - CENTRO;Santos;SP;11010911;martinsassessoria@uol.com.br;1208-1221;12;8;2031
BRASIL;Nadim Gannoum Fernandes - Me;23323690000115;Rua Júlia Ferreira de Carvalho, nº 65 - Chico de Paula;Santos;SP;11090050;ubirajara@fernandesassessoria.com.br;0857-0817;8;22;2027
BRASIL;Planim Assessoria Em Comércio Exterior E Logística Ltda.;64158165000179;Rua Brás Cubs, 9 - 5º Andar - Centro;Santos;SP;11013161;antonio@planim.com.br;0110-0805;8;18;2015
BRASIL;Pgl Express Service Ltda;16692091000103;Rua Guaió, nº 66, conjunto 1303 -  Aparecida;Santos;SP;11035260;fabio.cotrim@pglbr.com.br;1304-1022;10;17;2032
BRASIL;Phoenix Despachos Aduaneiros Ltda;68981398000128;Praça da República NR 87 Cj 84;Santos;SP;11010000;marcoantonio@phoenixltda.com.br;0161-1205;12;28;2015
BRASIL;Transmodal Logística Eireli;49192362000110;Avenida Dr. Albert Schweitzer nº. 1901 - Quadra 57 Lote 63 - Alemoa;Santos;SP;11095520;qualidade@transmodal.com.br;0220-1206;1;26;2027
BRASIL;Transcargo Internacional Desconsolidação E Transportes Ltda;257058000115;Rua XV de Novembro, nº. 65, Cj. 62 - Centro;Santos;SP;11010151;francisco@transcargo.com.br;0249-0807;8;3;2017
BRASIL;Transbrasa - Transitaria Brasileira Ltda;45557022000195;RUA JOAQUIM TÁVORA, Nº 500 - MARAPÉ;Santos;SP;11065908;bayardf@transbrasa.com.br;1320-0123;1;19;2033
BRASIL;Vertrans Serviços Logisticos Ltda - Epp;10520033000116;RUA AUGUSTO SEVERO, 7 - 7º ANDAR - CONJ. 7 A SALA 1 - CENTRO;Santos;SP;11010050;humberto@dcasantos.com.br;0380-0510;5;10;2020
BRASIL;Santos Brasil Logística S.A.;58180316000192;Avenida Marginal Via Anchieta, nº 820 - Alemoa;Santos;SP;11095000;juridico.corporativo@santosbrasil.com.br;0036-0405;5;14;2025
BRASIL;Sanz Chemical Transportes Internacionais Ltda;36628830000105;RUA TORRES HOMEM, 255 - APTO 21 - BOQUEIRÃO;Santos;SP;11025020;VINICIUS.MONTEIRO@SANZCHEMICAL.COM;1147-0421;4;6;2031
BRASIL;Sincrolog Logística Ltda;7056595000146;Rua Vasconcelos Tavares, 19 - conj.63/64 - centro;Santos;SP;11010110;financeiro@sincrolog.com.br;0240-0507;5;30;2017
BRASIL;Servimex Logística Ltda;58149782000105;Rua Augusto Severo, 7 - 5º Andar - Centro;Santos;SP;11010919;clarissa.bernardi@servimex.com.br;0056-0505;6;7;2015
BRASIL;Rumo Logística Operadora Multimodal S.A.;71550388000142;Av. Candido Gaffrée s/nº. entre armazéns V e 19 - Docas;Santos;SP;11013240;israel.souza@rumologistica.com.br;0263-1107;11;12;2017
BRASIL;Rodocarga Operadora Portuária E Transporte S.A.;97359863000191;Rua Professor José Olivar, nº 158, 1º andar, Estuário;Santos;SP;11020450;marcos.medeiros@grupolibra.com.br;0330-0309;3;24;2019
BRASIL;Rodocarga Operadora Portuária E Transporte S.A.;97359863000191;Rua Professor José Olivar, nº 158, 1º andar, Estuário;Santos;SP;11020450; carla.gomes@grupolibra.com.br;0330-0309;3;24;2019
BRASIL;Rodocarga Operadora Portuária E Transporte S.A.;97359863000191;Rua Professor José Olivar, nº 158, 1º andar, Estuário;Santos;SP;11020450; marcio.bravo@grupolibra.com.br;0330-0309;3;24;2019
BRASIL;Rodotech Remessas E Transportes Ltda;4171407000132;PRAÇA DA REPÚBLICA Nº 69 - SALA 05 - CENTRO;Santos;SP;11013010;financeiro.bsk@baska.com.br;0608-0214;4;15;2034
BRASIL;S. Magalhães S.A. Logística Em Comércio Exterior;58130089000190;Praça da República, 62 - 1º e 2º Andar - Centro;Santos;SP;11013921;roberta.tavares@smagalhaes.com.br;0096-0805;8;17;2015
BRASIL;Sszlog Transportes Ltda - Epp;25205792000161;Rua Dr. Emílio Ribas, nº 94, apto. 181-B, (Ponto de referência) - Vila Mathias;Santos;SP;11015070;tyrone@sszlog.com.br;1137-0121;1;13;2031
BRASIL;Sulamericana - Logística Internacional Ltda;8218419000126;Rua Amador Bueno, 171, Sala 62 - Centro;Santos;SP;11013151;julio@dcasantos.com.br;0595-1213;12;11;2023
BRASIL;Tecsider Transportes E Serviços Ltda;57737264000140;Rua Ana Santos, nº 55 - Chico de Paula;Santos;SP;11085350;comercial@tecsider.com.br;0591-1113;11;5;2023
BRASIL;Terra & Mar Transportes E Cabotagem;11316066000101;Rua Amador Bueno, nº 64 sala 01 - Centro;Santos;SP;11013150;ubirajara@fernandesassessoria.com.br;0856-0817;8;22;2027
BRASIL;Fideliter Multimodal Ltda.;4757437000125;Praça da República, 62 - Sala 131 - Centro;Santos;SP;11013010;rivaldo@fideliter.com.br;0079-0605;6;22;2015
BRASIL;Euromar Transportes E Logística Eireli;23830039000131;Rua Itororo, 3, sala 62 - Centro;Santos;SP;11010070;enoc@euromartransportes.com.br;1060-0320;3;17;2030
BRASIL;Essemaga Logística e Transportes Ltda;54834007000138;Rua Dr. Albert Schweitzer, nº 2.650;Santos;SP;11095520;madalena.correa@essemaga.com.br;0098-0805;9;1;2035
BRASIL;Essemaga Logística e Transportes Ltda;54834007000138;Rua Dr. Albert Schweitzer, nº 2.650;Santos;SP;11095520;adm.tr@smagalhaes.com.br;0098-0805;9;1;2035
BRASIL;D&G Logística E Transportes Ltda;19356008000113;Praça Visconde de Maua, nº 29 - conjunto 323 - Centro;Santos;SP;11010000;thais.simoesgomes@gmail.com;0902-0418;4;11;2028
BRASIL;Embraport - Empresa Brasileira De Terminais Portuários S.A.;2805610000198;Praça Antônio Telles, nº 12, 7º andar - Centro;Santos;SP;11013020;rishii@terminalembraport.com.br;0735-0116;1;22;2026
BRASIL;Ecolog Transportes Nacionais E Internacionais Ltda-Me;28037032000180;Rua Alexandre Gusmão, 11, 7º andar, sala 701 - Valongo;Santos;SP;11010340;fiscal@ecologlogistica.com;1421-0524;5;27;2034
BRASIL;Duane Customs & Freight Solutions Eireli - Epp;23896429000104;Avenida Ana Costa, nº 146, conjunto 2101, Vila Mathias;Santos;SP;11060000;wagner.ribeiro@duanesolutions.com;1331-0223;2;15;2033
BRASIL;Globetrans Logística, Transporte E Distribuição Ltda -  Epp;8973632000143;RUA RIACHUELO, 121, CONJUNTO 51 - CENTRO;Santos;SP;11010021;operacional@globetrans.com.br;0385-0610;4;26;2031
BRASIL;Global Freight - Agenciamento De Carga Ltda;4948785000180;Rua XV de Novembro, 65 - sala 91 - Centro;Santos;SP;11010161;Augusto@globalfreight.com.br;0116-0805;8;23;2015
BRASIL;Global Truck Transportes & Logística Ltda - Epp;8611138000139;RUA BITENCOURT Nº 141, CONJUNTO 58 - VILA NOVA;Santos;SP;11013300;thiago@globalgsl.com.br;0623-0614;6;24;2024
BRASIL;Green  Light Agenciamento De Cargas E Transportes Ltda;9423217000189;Av. são Francisco, nº 65, 9º andar, cj. 94 - Centro;Santos;SP;11013201;nilson@greenlightlogistics.com.br;0941-0918;9;26;2028
BRASIL;Granport Multimodal Ltda;4507739000145;Rua Júlia Ferreira de Carvalho, 65 A - Chico de Paula;Santos;SP;11090050;marcelo@granport.com.br;0185-0406;9;29;2027
BRASIL;Granport Transporte E Cabotagem Ltda;19769981000164;RUA JULIA FERREIRA DE CARVALHO Nº 65 B - CHICO DE PAULA;Santos;SP;11090050;IVAM@GRANPORT.COM.BR;0645-1014;10;7;2024
BRASIL;Innova Solution Consultoria E Gestão De Negócios Eireli - Epp;26578736000135;AV SENADOR FEIJÓ, Nº 686, CONJUNTO 908 E 909 - VILA MATHIAS;Santos;SP;11015504;pmartins@innovasolution.com.br;1025-1019;10;7;2029
BRASIL;Inport Despachos Aduaneiros Ltda;4001560000111;Praça da República, nº 62 cj 52 - Centro;Santos;SP;11013010;genar@inport.com.br;0179-0406;6;21;2026
BRASIL;Indaiá Logística Internacional Ltda;58156084000137;Av. Senador Feijó, 14 - 7º  andar - Centro;Santos;SP;11015500;fabricio.paulella@myindaia.com.br;0055-0505;4;29;2025
BRASIL;Iberico Transportes & Logistica Ltda;33611111000193;AV SENADOR FEIJO 686 CONJ 1207 E 1208 - VILA MATHIAS;Santos;SP;11015504;leonardo@transportesiberico.com.br;1460-1224;12;23;2034
BRASIL;Hipercon Terminais De Cargas Ltda;57246266000136;RUA AUGUSTO SCARABOTO S/Nº , BAIRRO ALEMOA;Santos;SP;11095906;controladoriaadmin@hiperconterminais.com.br;0403-0710;7;30;2020
BRASIL;ITRI RODOFERROVIA E SERVIÇOS LTDA;4215000180;Praça da República, nº 87, 8º andar, conjunto 82;Santos;SP;11013010;maurilio@itri.com.br;0144-1005;10;22;2035
BRASIL;Br Line Multimodal Ltda;24478169000110;AV. ANA COSTA Nº 100 - SALA 42 - VILA MATHIAS;Santos;SP;11060000;ADM@BRLINEMULTIMODAL.COM.BR;1062-0320;3;18;2030
BRASIL;Borealis Serviços Logisticos Eireli;31448612000175;AV. ANA COSTA, Nº 61 CONJUNTO 91 - VILA MATHIAS;Santos;SP;11060000;francisco.araujo@borealis-logistics.com;1166-0521;5;26;2031
BRASIL;Bracenter Centro Brasileiro De Armazenagem E Distribuição Ltda;7153670000197;Rua Dr. Manoel Tourinho nº. 48/66 - Macuco;Santos;SP;11015030;migueljur@biellamiguel.com.br;0253-0807;8;31;2017
BRASIL;Bunge Alimentos S.A.;84046101000193;PRAÇA GUILHERME ARALHE Nº 20 - BAIRRO MACUCO;Santos;SP;11015305;fiscalizacao.fiscal@bunge.com;0542-0113;1;15;2023
